region,avg_price,median_price,hourly_wage,avg_hours,price_std,n_platforms,Cluster,PCA1,PCA2
Spain,18.38,19.53,16.98,1.0833333333333333,5.236056228663071,2,0,0.27850512275990313,0.6700304549911021
Sri Lanka,6.0649999999999995,5.595000000000001,2.17,2.795,2.4441516482724035,3,2,-0.4321693484285762,-1.0207182208557866
Suriname,8.573333333333334,8.49,3.35,2.56,3.063092355102718,3,2,-0.26159149338684823,-0.8894905287443147
Sweden,10.58,10.58,27.46,0.39000000000000007,0.0,1,1,-0.6162294440124398,1.6643686236618882
Switzerland,13.8,13.8,50.0,0.28,0.0,1,0,-0.45847948310418934,3.033708715271596
Tajikistan,7.921818181818182,7.99,0.64,12.373545454545456,0.5310422188475213,2,2,-0.012933274399922628,-1.4738628750314189
Tanzania,8.74,8.99,0.57,15.335,3.2729645558359945,2,2,0.3691152656220642,-1.7083394464225496
Trinidad and Tobago,13.365,13.24,9.01,1.4850000000000003,4.871016130526722,2,2,-0.021385325517062147,0.0890769938105139
Tunisia,8.74,8.99,2.01,4.3500000000000005,3.2729645558359945,2,2,-0.207127174818313,-0.6465020138979007
Uganda,7.490000000000001,7.99,0.52,14.405,2.181976370557328,2,2,0.19016822882748435,-1.651817034565813
Ukraine,6.490000000000001,6.49,2.59,2.5066666666666664,1.2266392961454877,2,2,-0.5627914630346575,-0.49632663982226294
United Arab Emirates,7.63,7.63,24.17,0.32,0.0,1,1,-0.7746143854107564,1.4386590400487242
United Kingdom,20.273395061728394,19.99,25.6,0.7925925925925926,7.395771226959444,3,0,0.5336202198775942,0.7564144469998141
United States,18.32333333333333,19.49,40.64,0.45,5.882938419813157,3,0,0.349545026316634,1.637857764240219
Uruguay,15.989999999999998,14.989999999999998,11.49,1.3900000000000001,3.9415685807848315,2,2,0.026977974265242358,0.2643186990392533
Uzbekistan,12.99,12.99,1.52,8.55,0.0,1,1,-0.0539889886425283,-0.5439656529819771
Venezuela,5.99,5.99,2.03,2.953333333333333,1.635519061527316,1,1,-0.6102754527986202,-0.09816363849722826
Zambia,8.74,8.99,0.57,15.335,3.2729645558359945,2,2,0.3691152656220642,-1.7083394464225496
Zimbabwe,7.490000000000001,7.99,1.2,6.242500000000001,2.181976370557328,2,2,-0.23790342507901055,-0.8855809218487178
